Participant._id_in_session_display,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.decision,Player.nghb,Player.num_active,Group.id,Group.networktype,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P4,lakizova,,200/199 pages,network8,40,ResultsSummary,Disconnected,1,10.171.111.19,2015-09-14 08:46:55.934026+00:00,0,49,gapumomu,1,,,4,D,404,33,ACTIVE,2,1,81,Blue network,81,1,gapumomu,,,0.01000,,,,,10.00,,demo
P3,kolefogo,,200/199 pages,network8,40,ResultsSummary,Disconnected,1,10.71.192.166,2015-09-14 08:43:20.611054+00:00,0,48,gapumomu,1,,,5,E,403,67,ACTIVE,3,2,81,Blue network,81,1,gapumomu,,,0.01000,,,,,10.00,,demo
P2,japununi,,199/199 pages,network8,40,ResultsSummary,Disconnected,1,10.236.249.87,2015-09-14 08:43:12.650686+00:00,0,47,gapumomu,1,,,2,B,402,33,ACTIVE,3,1,81,Blue network,81,1,gapumomu,,,0.01000,,,,,10.00,,demo
P1,hilapora,,200/199 pages,network8,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:11.288923+00:00,0,46,gapumomu,1,,,1,A,401,33,INACTIVE,1,1,81,Blue network,81,1,gapumomu,,,0.01000,,,,,10.00,,demo
P5,fovihedo,,200/199 pages,network8,40,ResultsSummary,Disconnected,1,10.171.111.19,2015-09-14 08:43:43.595298+00:00,0,50,gapumomu,1,,,3,C,405,100,INACTIVE,3,3,81,Blue network,81,1,gapumomu,,,0.01000,,,,,10.00,,demo
P5,dibimoga,,0/199 pages,,,,Not visited yet,,,,0,35,lovarusi,0,,,5,E,205,,,,,41,,41,1,lovarusi,,,0.01000,,,,,10.00,,demo
P3,hunitipu,,1/199 pages,network8,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:40:04.741638+00:00,0,33,lovarusi,1,,,1,A,203,,,,,41,,41,1,lovarusi,,,0.01000,,,,,10.00,,demo
P1,tepurifa,,1/199 pages,network8,1,Active_or_Inactive,Disconnected,1,10.165.80.111,2015-09-14 08:39:43.393611+00:00,0,31,lovarusi,1,,,2,B,201,,,,,41,,41,1,lovarusi,,,0.01000,,,,,10.00,,demo
P5,zavogomo,,0/199 pages,,,,Not visited yet,,,,0,15,gemeposu,0,,,5,E,5,,,,,1,,1,1,gemeposu,,,0.01000,,,,,10.00,,demo
P4,hihizoze,,0/199 pages,,,,Not visited yet,,,,0,14,gemeposu,0,,,1,A,4,,,,,1,,1,1,gemeposu,,,0.01000,,,,,10.00,,demo
P1,nahakuva,,0/199 pages,,,,Not visited yet,,,,0,11,gemeposu,0,,,2,B,1,,,,,1,,1,1,gemeposu,,,0.01000,,,,,10.00,,demo
P3,varonope,,0/199 pages,,,,Not visited yet,,,,0,13,gemeposu,0,,,3,C,3,,,,,1,,1,1,gemeposu,,,0.01000,,,,,10.00,,demo
P2,zubineba,,0/199 pages,,,,Not visited yet,,,,0,12,gemeposu,0,,,4,D,2,,,,,1,,1,1,gemeposu,,,0.01000,,,,,10.00,,demo
