Participant._id_in_session_display,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.decision,Player.nghb,Player.num_active,Group.id,Group.networktype,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P4,terezemi,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:01.270105+00:00,0,39,hepazete,1,,,4,D,604,67,ACTIVE,2,2,121,Blue network,121,1,hepazete,,,0.01,,,,,10,,demo
P2,tutuzogo,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:42:56.218189+00:00,0,37,hepazete,1,,,5,E,602,67,ACTIVE,3,2,121,Blue network,121,1,hepazete,,,0.01,,,,,10,,demo
P5,nalatuse,,200/199 pages,network,40,ResultsSummary,Disconnected,1,10.79.180.165,2015-09-14 08:46:31.138045+00:00,0,40,hepazete,1,,,3,C,605,67,ACTIVE,3,2,121,Blue network,121,1,hepazete,,,0.01,,,,,10,,demo
P3,tusopada,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.45.53.139,2015-09-14 08:43:00.237599+00:00,0,38,hepazete,1,,,2,B,603,67,INACTIVE,3,2,121,Blue network,121,1,hepazete,,,0.01,,,,,10,,demo
P1,tesazoda,,199/199 pages,network,40,ResultsSummary,Disconnected,1,10.236.245.106,2015-09-14 08:42:55.611272+00:00,0,36,hepazete,1,,,1,A,601,0,INACTIVE,1,0,121,Blue network,121,1,hepazete,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,5,E,4,,,,,1,,1,1,mekanevu,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,1,A,2,,,,,1,,1,1,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,2,B,3,,,,,1,,1,1,mekanevu,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,3,C,5,,,,,1,,1,1,mekanevu,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,4,D,1,,,,,1,,1,1,mekanevu,,,0.01,,,,,10,,demo
