Participant._id_in_session_display,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.decision,Player.nghb,Player.num_active,Group.id,Group.networktype,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P2,danujosu,,1/199 pages,network2,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:39:49.972613+00:00,0,27,gomisepa,1,,,2,B,202,,,,,41,,41,1,gomisepa,,,0.01000,,,,,10.00,,demo
P3,mevelade,,1/199 pages,network2,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:39:59.646928+00:00,0,28,gomisepa,1,,,1,A,203,,,,,41,,41,1,gomisepa,,,0.01000,,,,,10.00,,demo
P1,nilehedu,,7/199 pages,network2,2,ResultsWaitPage,Disconnected,1,10.63.163.159,2015-09-14 08:23:28.570593+00:00,0,6,kuhozafo,1,,,2,B,1,0,ACTIVE,2,0,1,,1,1,kuhozafo,,,0.01000,,,,,10.00,,demo
P2,kufehiko,,6/199 pages,network2,2,Active_or_Inactive,Disconnected,1,127.0.0.1,2015-09-14 08:23:37.546522+00:00,0,7,kuhozafo,1,,,3,C,2,33,,0,1,1,,1,1,kuhozafo,,,0.01000,,,,,10.00,,demo
P3,kitupani,,6/199 pages,network2,2,Active_or_Inactive,Disconnected,1,127.0.0.1,2015-09-14 08:23:37.700656+00:00,0,8,kuhozafo,1,,,1,A,3,33,,0,1,1,,1,1,kuhozafo,,,0.01000,,,,,10.00,,demo
P4,rabenuvu,,6/199 pages,network2,2,Active_or_Inactive,Disconnected,1,127.0.0.1,2015-09-14 08:23:37.854773+00:00,0,9,kuhozafo,1,,,4,D,4,0,,0,0,1,,1,1,kuhozafo,,,0.01000,,,,,10.00,,demo
P5,jezihatu,,6/199 pages,network2,2,Active_or_Inactive,Disconnected,1,127.0.0.1,2015-09-14 08:23:38.048189+00:00,0,10,kuhozafo,1,,,5,E,5,0,,0,0,1,,1,1,kuhozafo,,,0.01000,,,,,10.00,,demo
P4,visisisu,,199/199 pages,network2,40,ResultsSummary,Disconnected,1,10.142.246.171,2015-09-14 08:43:06.583375+00:00,0,44,sutigapa,1,,,2,B,404,67,ACTIVE,3,2,81,Brown network,81,1,sutigapa,,,0.01000,,,,,10.00,,demo
P3,kihubulo,,199/199 pages,network2,40,ResultsSummary,Disconnected,1,10.150.103.138,2015-09-14 08:43:03.039060+00:00,0,43,sutigapa,1,,,3,C,403,33,ACTIVE,2,1,81,Brown network,81,1,sutigapa,,,0.01000,,,,,10.00,,demo
P5,dovapivo,,200/199 pages,network2,40,ResultsSummary,Playing,1,10.97.162.141,2015-09-14 08:46:33.306292+00:00,0,45,sutigapa,1,,,5,E,405,33,ACTIVE,2,1,81,Brown network,81,1,sutigapa,,,0.01000,,,,,10.00,,demo
